Product Code,Item Description (WIP Name),Pack Size,Label or Customer Name,Ross WIP #,Line,BLENDING ROOM,GRINDING ROOM,Notes,  WIP BATCH SIZE POUNDS,Minimum Wt.,MinimumWt. using MAV,MAV,Target Wt.,Maximum Wt.
088001S ,TGR SCE,8/18 FL OZ,T,TIS01S,RETAIL,X,,,1851,484,464,20,499,513
089001,HR WHT FINE,35# Pail,T,HRF12,PAIL,,X,,1200,3511,3511,0,3616,3725
089244,HR WHT FINE,35# Pail,TW GARNER,HRF12,PAIL,,X,,1200,1851,1851,0,1907,1964
090001S,EXTRA BOLD CKTAIL SCE w/ SUGAR,8/20.5 OZ,T,CSB02S,RETAIL,X,,,2397,,,,,
091001,RSTED GARLIC PUREE,400# Drum,T,GPR01,DRUM,X,,,3315,,,,,
092001,HR WHT CRSE,30# Pail,T,HRC07,PAIL,,X,,2000,1200,,,1236,1273
093001S,HR SCE DELI,8/18 FL OZ,T,DHR01S,RETAIL,X,,,648,510,488,22,525,541
096001,GAR/RSTD/CHPD,6/32 OZ,T,GRC01,TUB,X,,,3547,3547,3515,32,3653,3763
096036,GAR/RSTD/CHPD,6/32 OZ,ARREZZIO,GRC01,TUB,X,,,3547,3547,3515,32,3653,3763
096196,GAR/RSTD/CHPD,6/32 OZ,MELTING POT,GRC01,TUB,X,,,3547,3547,3515,32,3653,3763
096300,GAR/RSTD/CHPD,6/32 OZ,APPLEBEES,GRC01,TUB,X,,,3547,,,,,
096350,GAR/RSTD/CHPD,6/32 OZ,LONESTAR,GRC01,TUB,X,,,3547,,,,,
098001,KIMCHI AILOI,8/18 FL OZ,T,KIM01,RETAIL,X,,,1692,1692,,,1743,1795
098243,SMOKINSWEET R SCE,8/18 FL OZ,RUTTERS,KIM01,RETAIL,X,,,1692,,,,,
099001,GARLIC AIOLI  ,8/18 FL OZ,T,LED01S,RETAIL,X,,,1846,1846,,,1901,1958
102001,KICKIN' DIPPIN' SAUCE,8/18 FL OZ,T,HMA01,RETAIL,X,,,2111,,,,,
103001,JALAPENO AIOLI,8/18 FL OZ,T,JPA01,RETAIL,X,,,1600,,,,,
